lat, lng, cleanRent, cleanBeds, listingDate
47.383011,-122.234988,1199.0,0.0,2016-10-21
47.173669,-122.463152,1208.0,2.0,2016-10-21
47.905908,-122.248776,1630.0,3.0,2016-10-21
47.383011,-122.234988,1599.0,1.0,2016-10-21
47.141902,-122.512031,650.0,1.0,2016-10-21
47.000008,-122.926129,1540.0,2.0,2016-10-21
47.908567,-122.249862,1789.0,3.0,2016-10-21
47.581658,-122.032076,2005.0,3.0,2016-10-21
47.855044,-122.256971,1170.0,2.0,2016-10-21
47.236176,-122.555115,1175.0,2.0,2016-10-21
47.617027,-122.352623,2899.0,2.0,2016-10-21
47.497992,-122.181568,1456.0,1.0,2016-10-21
47.127822,-122.29309,1039.0,3.0,2016-10-21
47.376256,-122.255758,1399.0,2.0,2016-10-21
47.674313,-122.113977,1955.0,2.0,2016-10-21
47.907685,-122.23038,1595.0,2.0,2016-10-21
47.597502,-122.327331,2610.0,2.0,2016-10-21
47.550917,-122.07564,2656.0,2.0,2016-10-21
47.674335,-122.278327,2880.0,4.0,2016-10-21
47.036265,-122.846871,1425.0,2.0,2016-10-21
47.4372,-122.196811,1400.0,1.0,2016-10-21
47.268831,-122.451253,1495.0,2.0,2016-10-21
47.153355,-122.576738,1049.0,1.0,2016-10-21
47.036265,-122.846871,1825.0,3.0,2016-10-21
47.036212,-122.846873,1545.0,2.0,2016-10-21
47.668631,-122.377583,2499.0,2.0,2016-10-21
47.173669,-122.463152,1050.0,1.0,2016-10-21
47.801656,-122.211707,1547.0,1.0,2016-10-21
47.801656,-122.211707,2038.0,3.0,2016-10-21
47.613332,-122.323348,1299.0,1.0,2016-10-21
47.375985,-122.212204,1022.0,1.0,2016-10-21
47.561777,-122.388207,1299.0,0.0,2016-10-21
46.597109,-120.540458,1641.0,2.0,2016-10-21
47.56201,-122.381505,2665.0,2.0,2016-10-21
47.642998,-122.198635,1650.0,1.0,2016-10-21
47.48808,-122.261181,1250.0,2.0,2016-10-21
47.181077,-122.460491,1043.0,2.0,2016-10-21
47.384082,-122.255622,1520.0,2.0,2016-10-21
47.48808,-122.261181,1115.0,1.0,2016-10-21
47.27475,-122.464153,950.0,0.0,2016-10-21
47.561777,-122.388207,1409.0,0.0,2016-10-21
47.627869,-122.135659,1723.0,2.0,2016-10-21
47.412124,-122.255806,1800.0,0.0,2016-10-21
47.611156,-122.202386,3950.0,2.0,2016-10-21
47.596543,-122.298777,3900.0,2.0,2016-10-21
47.801656,-122.211707,1732.0,2.0,2016-10-21
47.6172,-122.201754,3015.0,2.0,2016-10-21
47.59762,-122.28711,2014.0,1.0,2016-10-21
47.4465,-122.1216,1423.0,1.0,2016-10-21
47.6019,-122.6299,945.0,1.0,2016-10-21
47.68052,-122.32418,1715.0,1.0,2016-10-21
