lat,lng,cleanRent,cleanBeds,listingDate
47.69226,-122.34124,1995.0,2.0,2016-10-21
47.70329,-122.33381,1343.0,1.0,2016-10-21
47.57602,-122.412039,945.0,1.0,2016-10-21
47.62351,-122.33181,2024.0,1.0,2016-10-21
47.62109,-122.35925,1519.0,0.0,2016-10-21
47.6151,-122.3447,1765.0,1.0,2016-10-21
47.67847,-122.32678,1813.0,0.0,2016-10-21
47.64205,-122.34646,3107.0,2.0,2016-10-21
47.56401,-122.37358,1555.0,1.0,2016-10-21
47.63963,-122.3268,3150.0,2.0,2016-10-21
47.72836,-122.29372,1320.0,1.0,2016-10-21
47.6633,-122.3022,1000.0,1.0,2016-10-21
47.61401,-122.33393,2937.0,1.0,2016-10-21
47.61405,-122.32329,1399.0,1.0,2016-10-21
47.60213,-122.32452,1582.0,0.0,2016-10-21
47.53186,-122.36053,1710.0,2.0,2016-10-21
47.62223,-122.33034,2276.0,2.0,2016-10-21
47.56025,-122.3829,2209.0,1.0,2016-10-21
47.61456,-122.31286,1946.0,1.0,2016-10-21
47.61456,-122.31286,1972.0,1.0,2016-10-21
47.63216,-122.36534,1638.0,1.0,2016-10-21
47.67847,-122.32678,2100.0,1.0,2016-10-21
47.66634,-122.37641,1749.0,1.0,2016-10-21
47.41897,-122.29146,1449.0,2.0,2016-10-21
47.57401,-122.30898,2000.0,2.0,2016-10-21
47.3929,-122.3129,1635.0,2.0,2016-10-21
47.62521,-122.32669,2545.0,1.0,2016-10-21
47.3929,-122.3129,1610.0,2.0,2016-10-21
47.67847,-122.32678,1670.0,1.0,2016-10-21
47.62961,-122.35671,1550.0,1.0,2016-10-21
47.5606,-122.38556,1548.0,,2016-10-21
47.68181,-122.32437,3550.0,3.0,2016-10-21
47.63723,-122.40465,5850.0,4.0,2016-10-21
47.64236,-122.30364,6000.0,3.0,2016-10-21
47.66872,-122.39581,1745.0,1.0,2016-10-21
47.67847,-122.32678,2917.0,2.0,2016-10-21
47.47815,-122.34888,1345.0,2.0,2016-10-21
47.62128,-122.34287,2585.0,1.0,2016-10-21
47.61959,-122.32776,2600.0,2.0,2016-10-21
47.617504,-122.314911,1650.0,1.0,2016-10-21
47.62537,-122.32123,2219.0,1.0,2016-10-21
47.62537,-122.32123,1600.0,0.0,2016-10-21
47.62351,-122.33181,1681.0,0.0,2016-10-21
47.61762,-122.319937,2050.0,1.0,2016-10-21
47.6037,-122.31931,1185.0,0.0,2016-10-21
47.63234,-122.35691,2195.0,2.0,2016-10-21
47.6768,-122.31726,2094.0,2.0,2016-10-21
47.60213,-122.32452,1559.0,0.0,2016-10-21
47.6062,-122.33774,3062.0,2.0,2016-10-21
47.748888,-122.323958,1690.0,,2016-10-21
47.62548,-122.34486,1758.0,1.0,2016-10-21
47.61542,-122.32671,2550.0,2.0,2016-10-21
47.66857,-122.37681,2053.0,1.0,2016-10-21
47.62338,-122.32102,1396.0,0.0,2016-10-21
47.6234,-122.31876,1795.0,1.0,2016-10-21
47.61871,-122.33421,2161.0,1.0,2016-10-21
47.68973,-122.32308,1799.0,2.0,2016-10-21
47.63061,-122.35669,1925.0,2.0,2016-10-21
47.67055,-122.38799,1705.0,0.0,2016-10-21
47.61676,-122.34622,2855.0,2.0,2016-10-21
47.57502,-122.38828,1989.0,2.0,2016-10-21
47.61676,-122.34622,1895.0,1.0,2016-10-21
47.66872,-122.39618,2225.0,2.0,2016-10-21
47.41897,-122.29146,1699.0,3.0,2016-10-21
47.55998,-122.38186,1495.0,0.0,2016-10-21
47.6211,-122.35552,2145.0,1.0,2016-10-21
47.66107,-122.35012,2249.0,2.0,2016-10-21
47.6151,-122.3447,2420.0,2.0,2016-10-21
47.61283,-122.318,2150.0,1.0,2016-10-21
47.6062,-122.33774,1982.0,1.0,2016-10-21
47.66129,-122.33724,1175.0,0.0,2016-10-21
47.70306,-122.32573,1725.0,1.0,2016-10-21
47.61101,-122.30771,1965.0,1.0,2016-10-21
47.61384,-122.35145,2500.0,2.0,2016-10-21
47.6849,-122.2968,2850.0,2.0,2016-10-21
47.65011,-122.322,1795.0,1.0,2016-10-21
47.64134,-122.34644,2699.0,2.0,2016-10-21
47.5344,-122.3547,1740.0,2.0,2016-10-21
47.67896,-122.32467,2850.0,2.0,2016-10-21
47.70306,-122.32573,2295.0,1.0,2016-10-21
47.61676,-122.34622,1695.0,1.0,2016-10-21
47.61676,-122.34622,1795.0,1.0,2016-10-21
47.6062,-122.33774,2319.0,1.0,2016-10-21
47.62353,-122.30721,2955.0,1.0,2016-10-21
47.61676,-122.34622,1995.0,1.0,2016-10-21
47.53882,-122.38674,1015.0,0.0,2016-10-21
47.60213,-122.32452,1700.0,0.0,2016-10-21
47.62096,-122.33975,2850.0,0.0,2016-10-21
